% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
83	2	14	35	0	20	161	0	1	1
84	1	5	54	0	20	161	0	1	0
84	1	3	62	0	20	161	0	1	0
84	2	3	62	0	20	161	0	1	1
84	2	5	54	0	20	161	0	1	1
85	1	8	75	0	0	7	0	1	0
85	1	11	69	0	0	7	0	1	0
85	2	11	69	0	0	7	0	1	1
85	2	8	75	0	0	7	0	1	1
86	1	15	82	0	20	161	0	1	0
86	1	1	1	0	20	161	0	1	0
86	2	15	82	0	20	161	0	1	1
86	2	1	1	0	20	161	0	1	1
87	1	10	14	0	20	161	0	1	0
87	1	12	26	0	20	161	0	1	0
87	2	12	26	0	20	161	0	1	1
87	2	10	14	0	20	161	0	1	1
88	1	14	35	0	20	161	0	1	0
88	2	13	43	0	0	7	0	1	1
88	2	14	35	0	20	161	0	1	1
89	2	3	62	0	20	161	0	1	1
89	2	5	54	0	20	161	0	1	1
90	1	5	54	0	20	161	0	1	0
90	1	3	62	0	20	161	0	1	0
90	2	11	69	0	0	7	0	1	1
90	2	8	75	0	0	7	0	1	1
91	1	11	69	0	20	161	0	1	0
91	2	15	82	0	20	161	0	1	1
91	2	7	88	0	0	7	0	1	1
92	1	7	88	0	20	161	0	1	0
92	1	15	82	0	20	161	0	1	0
92	2	1	1	0	20	161	0	1	1
92	2	10	14	0	20	161	0	1	1
93	1	10	14	0	20	161	0	1	0
93	1	1	1	0	20	161	0	1	0
93	2	12	26	0	20	161	0	1	1
93	2	14	35	0	20	161	0	1	1
94	1	12	26	0	20	161	0	1	0
94	1	14	35	0	20	161	0	1	0
94	2	13	43	0	20	161	0	1	1
94	2	5	54	0	20	161	0	1	1
95	2	11	69	0	20	161	0	1	1
95	2	3	62	0	20	161	0	1	1
96	1	5	54	0	20	161	0	1	0
96	1	13	43	0	20	161	0	1	0
96	2	15	82	0	20	161	0	1	1
96	2	8	75	0	0	7	0	1	1
97	1	3	62	0	20	161	0	1	0
97	1	11	69	0	20	161	0	1	0
97	2	4	93	0	0	7	0	1	1
97	2	7	88	0	20	161	0	1	1
98	1	15	82	0	20	161	0	1	0
98	1	8	75	0	20	161	0	1	0
98	2	1	1	0	20	161	0	1	1
98	2	10	14	0	20	161	0	1	1
99	1	7	88	0	20	161	0	1	0
99	1	4	93	0	20	161	0	1	0
99	2	12	26	0	20	161	0	1	1
99	2	14	35	0	20	161	0	1	1
100	1	10	14	0	20	161	0	1	0
100	1	1	1	0	20	161	0	1	0
100	2	13	43	0	20	161	0	1	1
100	2	5	54	0	20	161	0	1	1
101	2	11	69	0	20	161	0	1	1
101	2	3	62	0	20	161	0	1	1
102	1	12	26	0	20	161	0	1	0
102	1	14	35	0	20	161	0	1	0
102	2	15	82	0	20	161	0	1	1
102	2	8	75	0	20	161	0	1	1
103	1	5	54	0	20	161	0	1	0
103	1	13	43	0	20	161	0	1	0
103	2	4	93	0	20	161	0	1	1
103	2	7	88	0	20	161	0	1	1
104	1	3	62	0	20	161	0	1	0
104	1	11	69	0	20	161	0	1	0
104	2	1	1	0	20	161	0	1	1
104	2	6	97	0	0	7	0	1	1
105	1	15	82	0	20	161	0	1	0
105	1	8	75	0	20	161	0	1	0
105	2	12	26	0	20	161	0	1	1
105	2	10	14	0	20	161	0	1	1
106	1	7	88	0	20	161	0	1	0
106	1	4	93	0	20	161	0	1	0
106	2	13	43	0	20	161	0	1	1
106	2	14	35	0	20	161	0	1	1
107	2	3	62	0	20	161	0	1	1
107	2	5	54	0	20	161	0	1	1
108	1	6	97	0	0	7	0	1	0
108	1	1	1	0	20	161	0	1	0
108	2	11	69	0	20	161	0	1	1
108	2	8	75	0	20	161	0	1	1
109	1	10	14	0	20	161	0	1	0
109	1	12	26	0	20	161	0	1	0
109	2	15	82	0	20	161	0	1	1
109	2	7	88	0	20	161	0	1	1
110	1	14	35	0	20	161	0	1	0
110	1	13	43	0	20	161	0	1	0
110	2	4	93	0	20	161	0	1	1
110	2	6	97	0	0	7	0	1	1
111	1	5	54	0	20	161	0	1	0
111	1	3	62	0	20	161	0	1	0
111	2	1	1	0	20	161	0	1	1
111	2	2	100	0	0	7	0	1	1
112	1	8	75	0	20	161	0	1	0
112	1	11	69	0	20	161	0	1	0
112	2	12	26	0	20	161	0	1	1
112	2	10	14	0	20	161	0	1	1
113	1	7	88	0	20	161	0	1	0
113	1	15	82	0	20	161	0	1	0
113	2	13	43	0	20	161	0	1	1
113	2	14	35	0	20	161	0	1	1
114	1	6	97	0	0	7	0	1	0
114	1	4	93	0	20	161	0	1	0
114	2	3	62	0	20	161	0	1	1
114	2	5	54	0	20	161	0	1	1
115	1	9	102	0	0	7	0	1	0
115	1	2	100	0	0	7	0	1	0
115	2	11	69	0	20	161	0	1	1
115	2	8	75	0	20	161	0	1	1
